SaleId,Category,Product,Qty,Sale
IN0050,Perfumes,Perfume1,3.0,2010.0
IN0051,Smart Phone,Phone4,16.0,14560.0
IN0052,Tshirts,Tshirt2,13.0,11687.0
IN0053,Shoes,Shoes4,,17104.0
IN0054,Jeans,Jeans2,10.0,5590.0
IN0055,Perfumes,Perfume6,18.0,14778.0
IN0056,Tshirts,Tshirt1,,17238.0
IN0057,Jeans,Jeans1,17.0,11730.0
IN0058,Tshirts,Tshirt5,3.0,2739.0
IN0059,Tshirts,Tshirt5,8.0,9072.0
IN0060,Tshirts,Tshirt4,,5369.0
IN0061,Water bottles,Bottle6,11.0,8481.0
IN0062,Smart Phone,Phone2,,2469.0
IN0063,Tshirts,Tshirt4,20.0,11500.0
IN0064,Perfumes,Perfume2,,7620.0
IN0065,Tshirts,Tshirt2,,9915.0
IN0066,Perfumes,Perfume6,10.0,11830.0
IN0067,Perfumes,Perfume3,4.0,3080.0
IN0068,Tshirts,Tshirt1,18.0,14004.0
IN0069,Shoes,Shoes5,,6372.0
IN0070,Perfumes,Perfume4,9.0,5346.0
IN0071,Water bottles,Bottle4,9.0,4527.0
IN0072,Shoes,Shoes2,9.0,8568.0
IN0073,Perfumes,Perfume6,14.0,8596.0
IN0074,Tshirts,Tshirt6,5.0,4390.0
IN0075,Perfumes,Perfume5,,1260.0
IN0076,Shoes,Shoes3,,5720.0
IN0077,Water bottles,Bottle1,,5675.0
IN0078,Jeans,Jeans2,,3150.0
IN0079,Water bottles,Bottle3,14.0,10822.0
IN0080,Jeans,Jeans6,,8624.0
IN0081,Jeans,Jeans2,,6496.0
IN0082,Jeans,Jeans1,,7524.0
IN0083,Tshirts,Tshirt3,,21510.0
IN0084,Shoes,Shoes1,,12958.0
IN0085,Shoes,Shoes1,,9383.0
IN0086,Smart Phone,Phone5,17.0,15198.0
IN0087,Perfumes,Perfume2,9.0,8514.0
IN0088,Tshirts,Tshirt5,18.0,15696.0
IN0089,Smart Phone,Phone1,,4716.0
IN0090,Water bottles,Bottle3,,16548.0
IN0091,Shoes,Shoes4,10.0,6960.0
IN0092,Smart Phone,Phone6,13.0,14690.0
IN0093,Perfumes,Perfume3,13.0,10543.0
IN0094,Shoes,Shoes2,,14640.0
IN0095,Smart Phone,Phone6,,2019.0
IN0096,Shoes,Shoes5,,4760.0
IN0097,Water bottles,Bottle3,8.0,5200.0
IN0098,Tshirts,Tshirt1,,3375.0
IN0099,Smart Phone,Phone4,19.0,16967.0
IN0100,Smart Phone,Phone4,8.0,9368.0
IN0101,Water bottles,Bottle1,,4344.0
IN0102,Water bottles,Bottle5,15.0,16050.0
IN0103,Jeans,Jeans1,15.0,14625.0
IN0104,Water bottles,Bottle5,,19060.0
IN0105,Water bottles,Bottle5,,10592.0
IN0106,Smart Phone,Phone3,,16528.0
IN0107,Water bottles,Bottle2,,5790.0
IN0108,Jeans,Jeans3,,3159.0
IN0109,Jeans,Jeans2,,4592.0
IN0110,Tshirts,Tshirt4,,15825.0
IN0111,Smart Phone,Phone1,,17062.0
IN0112,Water bottles,Bottle1,,988.0
IN0113,Shoes,Shoes3,,18918.0
IN0114,Perfumes,Perfume2,16.0,12464.0
IN0115,Smart Phone,Phone4,,10972.0
IN0116,Water bottles,Bottle2,15.0,17055.0
IN0117,Perfumes,Perfume1,13.0,7605.0
IN0118,Water bottles,Bottle4,,1372.0
IN0119,Shoes,Shoes4,11.0,10615.0
IN0120,Shoes,Shoes3,,8379.0
IN0121,Tshirts,Tshirt4,1.0,858.0
IN0122,Jeans,Jeans6,3.0,1593.0
IN0123,Jeans,Jeans2,1.0,744.0
IN0124,Jeans,Jeans4,4.0,3904.0
IN0125,Water bottles,Bottle3,12.0,13440.0
IN0126,Perfumes,Perfume6,4.0,3272.0
IN0127,Tshirts,Tshirt5,,14157.0
IN0128,Smart Phone,Phone6,7.0,7742.0
IN0129,Water bottles,Bottle6,8.0,6464.0
IN0130,Water bottles,Bottle5,4.0,3420.0
IN0131,Perfumes,Perfume4,12.0,12216.0
IN0132,Water bottles,Bottle3,,4004.0
IN0133,Smart Phone,Phone3,15.0,14175.0
IN0134,Jeans,Jeans6,,20340.0
IN0135,Smart Phone,Phone4,,6640.0
IN0136,Tshirts,Tshirt3,15.0,14625.0
IN0137,Perfumes,Perfume5,,8464.0
IN0138,Shoes,Shoes2,16.0,13808.0
IN0139,Shoes,Shoes3,,1069.0
IN0140,Perfumes,Perfume2,3.0,2748.0
IN0141,Smart Phone,Phone5,,18576.0
IN0142,Smart Phone,Phone1,,9438.0
IN0143,Water bottles,Bottle2,,17712.0
IN0144,Perfumes,Perfume3,,12900.0
IN0145,Shoes,Shoes3,9.0,5607.0
IN0146,Water bottles,Bottle2,11.0,11528.0
IN0147,Water bottles,Bottle2,7.0,6965.0
IN0148,Shoes,Shoes6,,4214.0
IN0149,Shoes,Shoes2,12.0,9708.0
IN0150,Tshirts,Tshirt6,18.0,14040.0
IN0151,Tshirts,Tshirt1,,10064.0
IN0152,Tshirts,Tshirt1,,15680.0
IN0153,Smart Phone,Phone3,6.0,4548.0
IN0154,Smart Phone,Phone1,,3009.0
IN0155,Perfumes,Perfume6,2.0,1304.0
IN0156,Perfumes,Perfume3,3.0,1863.0
IN0157,Perfumes,Perfume4,20.0,20700.0
IN0158,Smart Phone,Phone4,,15428.0
IN0159,Shoes,Shoes5,20.0,22480.0
IN0160,Water bottles,Bottle1,7.0,5390.0
IN0161,Water bottles,Bottle1,6.0,4062.0
IN0162,Perfumes,Perfume1,6.0,5508.0
IN0163,Smart Phone,Phone6,,1596.0
IN0164,Jeans,Jeans3,,4576.0
IN0165,Shoes,Shoes6,19.0,17765.0
IN0166,Tshirts,Tshirt5,8.0,6176.0
IN0167,Jeans,Jeans1,2.0,1628.0
IN0168,Perfumes,Perfume6,,3796.0
IN0169,Smart Phone,Phone6,,13226.0
IN0170,Perfumes,Perfume4,15.0,16680.0
IN0171,Tshirts,Tshirt4,,1578.0
IN0172,Jeans,Jeans6,19.0,22572.0
IN0173,Shoes,Shoes5,2.0,1962.0
IN0174,Perfumes,Perfume6,,13015.0
IN0175,Smart Phone,Phone6,16.0,15696.0
IN0176,Shoes,Shoes4,,4744.0
IN0177,Jeans,Jeans3,,10335.0
IN0178,Perfumes,Perfume1,15.0,12330.0
IN0179,Shoes,Shoes3,,1026.0
IN0180,Water bottles,Bottle5,,3885.0
IN0181,Perfumes,Perfume3,,17100.0
IN0182,Tshirts,Tshirt2,9.0,7146.0
IN0183,Smart Phone,Phone6,16.0,8464.0
IN0184,Water bottles,Bottle5,8.0,6544.0
IN0185,Perfumes,Perfume1,,4760.0
IN0186,Tshirts,Tshirt4,4.0,4040.0
IN0187,Water bottles,Bottle3,,14800.0
IN0188,Smart Phone,Phone2,15.0,13380.0
IN0189,Jeans,Jeans5,17.0,9707.0
IN0190,Shoes,Shoes4,,5020.0
IN0191,Water bottles,Bottle3,,9780.0
IN0192,Perfumes,Perfume4,,19170.0
IN0193,Smart Phone,Phone4,11.0,8184.0
IN0194,Perfumes,Perfume4,,5984.0
IN0195,Water bottles,Bottle4,,5895.0
IN0196,Smart Phone,Phone1,,9030.0
IN0197,Tshirts,Tshirt5,15.0,9705.0
IN0198,Smart Phone,Phone6,5.0,4900.0
IN0199,Shoes,Shoes3,,3495.0
IN0200,Shoes,Shoes6,,13184.0
